id,commodity,elec_production,elec_consumption,ethanol_production,natgas_consumption,co2_biomass_content,process_capture_rate,process_emission_rate,fuel_capture_rate,fuel_emission_rate,investment_cost,fixed_om_cost,variable_om_cost
CA_DryMill_CCS_Fermentation,Biomass_Corn,0,0.085342825,3.104337995,1.013397519,1.758866658,0.357687672,0.686017394,0.0,0.185341119,27458.48,191772.15,-25.37
NW_DryMill_CCS_Fermentation,Biomass_Corn,0,0.085342825,3.104337995,1.013397519,1.758866658,0.357687672,0.686017394,0.0,0.185341119,27458.48,191772.15,-25.37
SW_DryMill_CCS_Fermentation,Biomass_Corn,0,0.085342825,3.104337995,1.013397519,1.758866658,0.357687672,0.686017394,0.0,0.185341119,27458.48,191772.15,-25.37
TX_DryMill_CCS_Fermentation,Biomass_Corn,0,0.085342825,3.104337995,1.013397519,1.758866658,0.357687672,0.686017394,0.0,0.185341119,27458.48,191772.15,-25.37
NCEN_DryMill_CCS_Fermentation,Biomass_Corn,0,0.085342825,3.104337995,1.013397519,1.758866658,0.357687672,0.686017394,0.0,0.185341119,27458.48,191772.15,-25.37
CEN_DryMill_CCS_Fermentation,Biomass_Corn,0,0.085342825,3.104337995,1.013397519,1.758866658,0.357687672,0.686017394,0.0,0.185341119,27458.48,191772.15,-25.37
SE_DryMill_CCS_Fermentation,Biomass_Corn,0,0.085342825,3.104337995,1.013397519,1.758866658,0.357687672,0.686017394,0.0,0.185341119,27458.48,191772.15,-25.37
MIDAT_DryMill_CCS_Fermentation,Biomass_Corn,0,0.085342825,3.104337995,1.013397519,1.758866658,0.357687672,0.686017394,0.0,0.185341119,27458.48,191772.15,-25.37
NE_DryMill_CCS_Fermentation,Biomass_Corn,0,0.085342825,3.104337995,1.013397519,1.758866658,0.357687672,0.686017394,0.0,0.185341119,27458.48,191772.15,-25.37
CA_DryMill_CCS_Fermentation_Exhaust,Biomass_Corn,0,0.085342825,3.104337995,1.013397519,1.758866658,0.357687672,0.686017394,0.152906423,0.032434696,45179.42,201481.25,-25.28
NW_DryMill_CCS_Fermentation_Exhaust,Biomass_Corn,0,0.085342825,3.104337995,1.013397519,1.758866658,0.357687672,0.686017394,0.152906423,0.032434696,45179.42,201481.25,-25.28
SW_DryMill_CCS_Fermentation_Exhaust,Biomass_Corn,0,0.085342825,3.104337995,1.013397519,1.758866658,0.357687672,0.686017394,0.152906423,0.032434696,45179.42,201481.25,-25.28
TX_DryMill_CCS_Fermentation_Exhaust,Biomass_Corn,0,0.085342825,3.104337995,1.013397519,1.758866658,0.357687672,0.686017394,0.152906423,0.032434696,45179.42,201481.25,-25.28
NCEN_DryMill_CCS_Fermentation_Exhaust,Biomass_Corn,0,0.085342825,3.104337995,1.013397519,1.758866658,0.357687672,0.686017394,0.152906423,0.032434696,45179.42,201481.25,-25.28
CEN_DryMill_CCS_Fermentation_Exhaust,Biomass_Corn,0,0.085342825,3.104337995,1.013397519,1.758866658,0.357687672,0.686017394,0.152906423,0.032434696,45179.42,201481.25,-25.28
SE_DryMill_CCS_Fermentation_Exhaust,Biomass_Corn,0,0.085342825,3.104337995,1.013397519,1.758866658,0.357687672,0.686017394,0.152906423,0.032434696,45179.42,201481.25,-25.28
MIDAT_DryMill_CCS_Fermentation_Exhaust,Biomass_Corn,0,0.085342825,3.104337995,1.013397519,1.758866658,0.357687672,0.686017394,0.152906423,0.032434696,45179.42,201481.25,-25.28
NE_DryMill_CCS_Fermentation_Exhaust,Biomass_Corn,0,0.085342825,3.104337995,1.013397519,1.758866658,0.357687672,0.686017394,0.152906423,0.032434696,45179.42,201481.25,-25.28
