id,elec_consumption,h2_consumption,natgas_consumption,ethylene_production,process_capture_rate,process_emission_rate,fuel_capture_rate,fuel_emission_rate,investment_cost,fixed_om_cost,variable_om_cost
CA_B-NGin,0.0162,0.0,0.1159,0.07045276705874294,0.0,0.0,0.0,0.021192192333129457,6578.32,6324.47,0.11
NW_B-NGin,0.0162,0.0,0.1159,0.07045276705874294,0.0,0.0,0.0,0.021192192333129457,6578.32,6324.47,0.11
SW_B-NGin,0.0162,0.0,0.1159,0.07045276705874294,0.0,0.0,0.0,0.021192192333129457,6578.32,6324.47,0.11
TX_B-NGin,0.0162,0.0,0.1159,0.07045276705874294,0.0,0.0,0.0,0.021192192333129457,6578.32,6324.47,0.11
NCEN_B-NGin,0.0162,0.0,0.1159,0.07045276705874294,0.0,0.0,0.0,0.021192192333129457,6578.32,6324.47,0.11
CEN_B-NGin,0.0162,0.0,0.1159,0.07045276705874294,0.0,0.0,0.0,0.021192192333129457,6578.32,6324.47,0.11
SE_B-NGin,0.0162,0.0,0.1159,0.07045276705874294,0.0,0.0,0.0,0.021192192333129457,6578.32,6324.47,0.11
MIDAT_B-NGin,0.0162,0.0,0.1159,0.07045276705874294,0.0,0.0,0.0,0.021192192333129457,6578.32,6324.47,0.11
NE_B-NGin,0.0162,0.0,0.1159,0.07045276705874294,0.0,0.0,0.0,0.021192192333129457,6578.32,6324.47,0.11
CA_B-H2in,0.0162,0.11587061236695867,0.0,0.07045276705874294,0.0,0.0,0.0,0.0,6578.32,6324.47,0.11
NW_B-H2in,0.0162,0.11587061236695867,0.0,0.07045276705874294,0.0,0.0,0.0,0.0,6578.32,6324.47,0.11
SW_B-H2in,0.0162,0.11587061236695867,0.0,0.07045276705874294,0.0,0.0,0.0,0.0,6578.32,6324.47,0.11
TX_B-H2in,0.0162,0.11587061236695867,0.0,0.07045276705874294,0.0,0.0,0.0,0.0,6578.32,6324.47,0.11
NCEN_B-H2in,0.0162,0.11587061236695867,0.0,0.07045276705874294,0.0,0.0,0.0,0.0,6578.32,6324.47,0.11
CEN_B-H2in,0.0162,0.11587061236695867,0.0,0.07045276705874294,0.0,0.0,0.0,0.0,6578.32,6324.47,0.11
SE_B-H2in,0.0162,0.11587061236695867,0.0,0.07045276705874294,0.0,0.0,0.0,0.0,6578.32,6324.47,0.11
MIDAT_B-H2in,0.0162,0.11587061236695867,0.0,0.07045276705874294,0.0,0.0,0.0,0.0,6578.32,6324.47,0.11
NE_B-H2in,0.0162,0.11587061236695867,0.0,0.07045276705874294,0.0,0.0,0.0,0.0,6578.32,6324.47,0.11
