Levelized cost for Bioethylene Production - $/GJ-ethylene - chemicals CO2 sequestration,,,,,,,,,,,,,,,,,
id_LC,h2_consumption,elec_consumption,elec_consumption - ethanol prod.,elec_production - ethanol prod.,biomass_consumption - ethanol prod.,natgas_consumption,natgas_consumption - ethanol prod.,investment_cost,investment_cost - ethanol prod.,fixed_om_cost,fixed_om_cost - ethanol prod.,variable_om_cost,variable_om_cost - ethanol prod.,modified capture cost,modified emissions cost,LCOE ($/t-ethylene),
CA_B-NGin,0.0,8.538099196280642,14.489192950743028,0.0,731.5650132921048,26.361052174877326,74.24892001979923,11.843234411429817,26.201549810398898,11.386217261862534,116.84791455349433,1.5613297332705607,-115.58727210015257,-1503.6125816569397,329.7567392815026,-266.4005910713286,
NW_B-NGin,0.0,6.036673927162978,10.244262956031962,0.0,731.5650132921048,26.361052174877326,74.24892001979923,11.843234411429817,26.201549810398898,11.386217261862534,116.84791455349433,1.5613297332705607,-115.58727210015257,-1508.412640448629,329.7567392815026,-277.9470051268466,
SW_B-NGin,0.0,6.59771940273731,11.196359665482124,0.0,731.5650132921048,26.361052174877326,74.24892001979923,11.843234411429817,26.201549810398898,11.386217261862534,116.84791455349433,1.5613297332705607,-115.58727210015257,-1507.3360337755003,329.7567392815026,-275.35725626869345,
TX_B-NGin,0.0,4.711016183697387,7.994615769912739,0.0,731.5650132921048,21.922435830124495,61.747049161465014,11.843234411429817,26.201549810398898,11.386217261862534,116.84791455349433,1.5613297332705607,-115.58727210015257,-1480.5010840120328,329.7567392815026,-270.55124082292224,
NCEN_B-NGin,0.0,7.428766997378721,12.60665119210853,0.0,731.5650132921048,21.938213732773416,61.79148942978543,11.843234411429817,26.201549810398898,11.386217261862534,116.84791455349433,1.5613297332705607,-115.58727210015257,-1369.735241235968,329.7567392815026,-152.39539364001104,
CEN_B-NGin,0.0,5.995133193957144,10.173768143908339,0.0,731.5650132921048,21.938213732773416,61.79148942978543,11.843234411429817,26.201549810398898,11.386217261862534,116.84791455349433,1.5613297332705607,-115.58727210015257,-1424.5977924161486,329.7567392815026,-211.12446167181344,
SE_B-NGin,0.0,9.402618424449715,15.956285990845652,0.0,731.5650132921048,21.938213732773416,61.79148942978543,11.843234411429817,26.201549810398898,11.386217261862534,116.84791455349433,1.5613297332705607,-115.58727210015257,-1336.400720918055,329.7567392815026,-113.73738709628998,
MIDAT_B-NGin,0.0,9.795283873301905,16.622641033427954,0.0,731.5650132921048,21.938213732773416,61.79148942978543,11.843234411429817,26.201549810398898,11.386217261862534,116.84791455349433,1.5613297332705607,-115.58727210015257,-1284.8585098809938,329.7567392815026,-61.13615556779433,
NE_B-NGin,0.0,11.380617762414774,19.312959813129467,0.0,731.5650132921048,21.938213732773416,61.79148942978543,11.843234411429817,26.201549810398898,11.386217261862534,116.84791455349433,1.5613297332705607,-115.58727210015257,-1231.2985753791145,329.7567392815026,-3.3005683971005624,
CA_B-H2in,43.42250301248164,8.538099196280642,14.489192950743028,0.0,731.5650132921048,0.0,74.24892001979923,11.843234411429817,26.201549810398898,11.386217261862534,116.84791455349433,1.5613297332705607,-115.58727210015257,-1503.6125816569397,243.37101602248197,-335.7248634927447,
NW_B-H2in,39.49182129662551,6.036673927162978,10.244262956031962,0.0,731.5650132921048,0.0,74.24892001979923,11.843234411429817,26.201549810398898,11.386217261862534,116.84791455349433,1.5613297332705607,-115.58727210015257,-1508.412640448629,243.37101602248197,-351.20195926411895,
SW_B-H2in,38.73523153923364,6.59771940273731,11.196359665482124,0.0,731.5650132921048,0.0,74.24892001979923,11.843234411429817,26.201549810398898,11.386217261862534,116.84791455349433,1.5613297332705607,-115.58727210015257,-1507.3360337755003,243.37101602248197,-349.3688001633576,
TX_B-H2in,31.29851845643106,4.711016183697387,7.994615769912739,0.0,731.5650132921048,0.0,61.747049161465014,11.843234411429817,26.201549810398898,11.386217261862534,116.84791455349433,1.5613297332705607,-115.58727210015257,-1480.5010840120328,243.37101602248197,-347.5608814556364,
NCEN_B-H2in,39.34360483867143,7.428766997378721,12.60665119210853,0.0,731.5650132921048,0.0,61.79148942978543,11.843234411429817,26.201549810398898,11.386217261862534,116.84791455349433,1.5613297332705607,-115.58727210015257,-1369.735241235968,243.37101602248197,-221.3757257931337,
CEN_B-H2in,35.07382123459067,5.995133193957144,10.173768143908339,0.0,731.5650132921048,0.0,61.79148942978543,11.843234411429817,26.201549810398898,11.386217261862534,116.84791455349433,1.5613297332705607,-115.58727210015257,-1424.5977924161486,243.37101602248197,-284.37457742901677,
SE_B-H2in,42.997800034558914,9.402618424449715,15.956285990845652,0.0,731.5650132921048,0.0,61.79148942978543,11.843234411429817,26.201549810398898,11.386217261862534,116.84791455349433,1.5613297332705607,-115.58727210015257,-1336.400720918055,243.37101602248197,-179.06352405352493,
MIDAT_B-H2in,44.8575021284049,9.795283873301905,16.622641033427954,0.0,731.5650132921048,0.0,61.79148942978543,11.843234411429817,26.201549810398898,11.386217261862534,116.84791455349433,1.5613297332705607,-115.58727210015257,-1284.8585098809938,243.37101602248197,-124.60259043118333,
NE_B-H2in,53.3974393843143,11.380617762414774,19.312959813129467,0.0,731.5650132921048,0.0,61.79148942978543,11.843234411429817,26.201549810398898,11.386217261862534,116.84791455349433,1.5613297332705607,-115.58727210015257,-1231.2985753791145,243.37101602248197,-58.22706600458025,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
0.0,,,,,,,,,,,,,,,,,
