id,h2_consumption,elec_consumption,ethylene_production,natgas_production,gasoline_production,emission_rate,investment_cost,fixed_om_cost,variable_om_cost
CA_S-H2in,5.5446013778157,0.1763,0.11376564277588169,0.1570262415358362,0.7770682541979523,0.06301888662522065,174237.66,95841.65,-43.02
NW_S-H2in,5.5446013778157,0.1763,0.11376564277588169,0.1570262415358362,0.7770682541979523,0.06301888662522065,174237.66,95841.65,-43.02
SW_S-H2in,5.5446013778157,0.1763,0.11376564277588169,0.1570262415358362,0.7770682541979523,0.06301888662522065,174237.66,95841.65,-43.02
TX_S-H2in,5.5446013778157,0.1763,0.11376564277588169,0.1570262415358362,0.7770682541979523,0.06301888662522065,174237.66,95841.65,-43.02
NCEN_S-H2in,5.5446013778157,0.1763,0.11376564277588169,0.1570262415358362,0.7770682541979523,0.06301888662522065,174237.66,95841.65,-43.02
CEN_S-H2in,5.5446013778157,0.1763,0.11376564277588169,0.1570262415358362,0.7770682541979523,0.06301888662522065,174237.66,95841.65,-43.02
SE_S-H2in,5.5446013778157,0.1763,0.11376564277588169,0.1570262415358362,0.7770682541979523,0.06301888662522065,174237.66,95841.65,-43.02
MIDAT_S-H2in,5.5446013778157,0.1763,0.11376564277588169,0.1570262415358362,0.7770682541979523,0.06301888662522065,174237.66,95841.65,-43.02
NE_S-H2in,5.5446013778157,0.1763,0.11376564277588169,0.1570262415358362,0.7770682541979523,0.06301888662522065,174237.66,95841.65,-43.02
CA_S-CC90-H2in,5.875472707775769,0.2382,0.12055455093429777,0.16639670441229656,0.8234394158408681,0.007105004633597589,203942.22,112111.54,-45.26
NW_S-CC90-H2in,5.875472707775769,0.2382,0.12055455093429777,0.16639670441229656,0.8234394158408681,0.007105004633597589,203942.22,112111.54,-45.26
SW_S-CC90-H2in,5.875472707775769,0.2382,0.12055455093429777,0.16639670441229656,0.8234394158408681,0.007105004633597589,203942.22,112111.54,-45.26
TX_S-CC90-H2in,5.875472707775769,0.2382,0.12055455093429777,0.16639670441229656,0.8234394158408681,0.007105004633597589,203942.22,112111.54,-45.26
NCEN_S-CC90-H2in,5.875472707775769,0.2382,0.12055455093429777,0.16639670441229656,0.8234394158408681,0.007105004633597589,203942.22,112111.54,-45.26
CEN_S-CC90-H2in,5.875472707775769,0.2382,0.12055455093429777,0.16639670441229656,0.8234394158408681,0.007105004633597589,203942.22,112111.54,-45.26
SE_S-CC90-H2in,5.875472707775769,0.2382,0.12055455093429777,0.16639670441229656,0.8234394158408681,0.007105004633597589,203942.22,112111.54,-45.26
MIDAT_S-CC90-H2in,5.875472707775769,0.2382,0.12055455093429777,0.16639670441229656,0.8234394158408681,0.007105004633597589,203942.22,112111.54,-45.26
NE_S-CC90-H2in,5.875472707775769,0.2382,0.12055455093429777,0.16639670441229656,0.8234394158408681,0.007105004633597589,203942.22,112111.54,-45.26
