id,biomass_commodity,co2_content,investment_cost,fixed_om_cost,variable_om_cost,electricity_consumption,gasoline_production,jetfuel_production,diesel_production,electricity_production,emission_rate,capture_rate
CA_Gasoline_Gasification_Non_CCS_Herb,Biomass_Herb,1.721,356053.6,283503.36,22.0416,0.0,2.0204,0.0,0.0,0.0,1.228078285371346,0.0
NW_Gasoline_Gasification_Non_CCS_Herb,Biomass_Herb,1.726,356053.6,283503.36,22.0416,0.0,2.0249,0.0,0.0,0.0,1.2319943453721622,0.0
SW_Gasoline_Gasification_Non_CCS_Herb,Biomass_Herb,1.71,356053.6,283503.36,22.0416,0.0,2.0115,0.0,0.0,0.0,1.2192461653697126,0.0
TX_Gasoline_Gasification_Non_CCS_Herb,Biomass_Herb,1.714,356053.6,283503.36,22.0416,0.0,2.016,0.0,0.0,0.0,1.2221622253705293,0.0
NCEN_Gasoline_Gasification_Non_CCS_Herb,Biomass_Herb,1.74,356053.6,283503.36,22.0416,0.0,2.0371,0.0,0.0,0.0,1.243013510374408,0.0
CEN_Gasoline_Gasification_Non_CCS_Herb,Biomass_Herb,1.723,356053.6,283503.36,22.0416,0.0,2.0249,0.0,0.0,0.0,1.2289943453721626,0.0
SE_Gasoline_Gasification_Non_CCS_Herb,Biomass_Herb,1.717,356053.6,283503.36,22.0416,0.0,2.0215,0.0,0.0,0.0,1.2238073003715502,0.0
MIDAT_Gasoline_Gasification_Non_CCS_Herb,Biomass_Herb,1.736,356053.6,283503.36,22.0416,0.0,2.0327,0.0,0.0,0.0,1.2400974503735913,0.0
NE_Gasoline_Gasification_Non_CCS_Herb,Biomass_Herb,1.745,356053.6,283503.36,22.0416,0.0,2.0404,0.0,0.0,0.0,1.2472005553750205,0.0
CA_Gasoline_Gasification_Non_CCS_Wood,Biomass_Wood,1.843,356053.6,283503.36,22.0416,0.0,2.1504,0.0,0.0,0.0,1.3183730403952312,0.0
NW_Gasoline_Gasification_Non_CCS_Wood,Biomass_Wood,1.818,356053.6,283503.36,22.0416,0.0,2.1459,0.0,0.0,0.0,1.2944569803944146,0.0
SW_Gasoline_Gasification_Non_CCS_Wood,Biomass_Wood,1.798,356053.6,283503.36,22.0416,0.0,2.126,0.0,0.0,0.0,1.27933471039074,0.0
TX_Gasoline_Gasification_Non_CCS_Wood,Biomass_Wood,1.821,356053.6,283503.36,22.0416,0.0,2.1093,0.0,0.0,0.0,1.3063994853876775,0.0
NCEN_Gasoline_Gasification_Non_CCS_Wood,Biomass_Wood,1.802,356053.6,283503.36,22.0416,0.0,2.1171,0.0,0.0,0.0,1.2855025903891069,0.0
CEN_Gasoline_Gasification_Non_CCS_Wood,Biomass_Wood,1.802,356053.6,283503.36,22.0416,0.0,2.1182,0.0,0.0,0.0,1.285231605389311,0.0
SE_Gasoline_Gasification_Non_CCS_Wood,Biomass_Wood,1.821,356053.6,283503.36,22.0416,0.0,2.126,0.0,0.0,0.0,1.3023347103907397,0.0
MIDAT_Gasoline_Gasification_Non_CCS_Wood,Biomass_Wood,1.806,356053.6,283503.36,22.0416,0.0,2.1115,0.0,0.0,0.0,1.290857515388086,0.0
